Area,crop,year,Area_Harvested_ha,Production_tonnes,Yield_kg_per_ha
Ghana,Cassava,1961,140000.0,1050000.0,7500.0
Ghana,Cassava,1962,140000.0,1050000.0,7500.0
Ghana,Cassava,1963,158554.0,1194265.0,7532.2
Ghana,Cassava,1964,162803.0,1228608.0,7546.6
Ghana,Cassava,1965,150000.0,1400000.0,9333.3
Ghana,Cassava,1966,186000.0,1552000.0,8344.1
Ghana,Cassava,1967,183000.0,1577000.0,8617.5
Ghana,Cassava,1968,172000.0,1445600.0,8404.7
Ghana,Cassava,1969,200000.0,1500000.0,7500.0
Ghana,Cassava,1970,210000.0,1550000.0,7381.0
Ghana,Cassava,1971,210000.0,1550000.0,7381.0
Ghana,Cassava,1972,220000.0,1650000.0,7500.0
Ghana,Cassava,1973,224000.0,1600000.0,7142.9
Ghana,Cassava,1974,225000.0,1600000.0,7111.1
Ghana,Cassava,1975,285000.0,1900000.0,6666.7
Ghana,Cassava,1976,250000.0,1819000.0,7276.0
Ghana,Cassava,1977,232000.0,1811000.0,7806.0
Ghana,Cassava,1978,235000.0,1895000.0,8063.8
Ghana,Cassava,1979,219000.0,1759000.0,8032.0
Ghana,Cassava,1980,230000.0,1857600.0,8076.5
Ghana,Cassava,1981,210000.0,2065000.0,9833.3
Ghana,Cassava,1982,230000.0,1986000.0,8634.8
Ghana,Cassava,1983,210000.0,1728000.0,8228.6
Ghana,Cassava,1984,250000.0,2200000.0,8800.0
Ghana,Cassava,1985,289954.0,2300000.0,7932.3
Ghana,Cassava,1986,387200.0,2876200.0,7428.2
Ghana,Cassava,1987,389500.0,2725800.0,6998.2
Ghana,Cassava,1988,444000.0,3300000.0,7432.4
Ghana,Cassava,1989,446000.0,3320000.0,7443.9
Ghana,Cassava,1990,322800.0,2717000.0,8417.0
Ghana,Cassava,1991,534700.0,5701500.0,10663.0
Ghana,Cassava,1992,551900.0,5662000.0,10259.1
Ghana,Cassava,1993,531800.0,5972600.0,11230.9
Ghana,Cassava,1994,520400.0,6025000.0,11577.6
Ghana,Cassava,1995,551300.0,6611400.0,11992.4
Ghana,Cassava,1996,590668.0,7111180.0,12039.2
Ghana,Cassava,1997,589300.0,6999509.0,11877.7
Ghana,Cassava,1998,629680.0,7171500.0,11389.1
Ghana,Cassava,1999,640300.0,7845440.0,12252.8
Ghana,Cassava,2000,660100.0,8106800.0,12281.2
Ghana,Cassava,2001,726357.0,8965840.0,12343.6
Ghana,Cassava,2002,794440.0,9731040.0,12248.9
Ghana,Cassava,2003,807200.0,10239340.0,12685.0
Ghana,Cassava,2004,783947.0,9738812.0,12422.8
Ghana,Cassava,2005,750000.0,9567000.0,12756.0
Ghana,Cassava,2006,790000.0,9638000.0,12200.0
Ghana,Cassava,2007,800530.0,10217930.0,12764.0
Ghana,Cassava,2008,839920.0,11351100.0,13514.5
Ghana,Cassava,2009,885800.0,12230600.0,13807.4
Ghana,Cassava,2010,875013.0,13504086.0,15433.0
Ghana,Cassava,2011,889364.0,14240867.0,16012.4
Ghana,Cassava,2012,868550.0,14547279.0,16748.9
Ghana,Cassava,2013,875185.0,15989940.0,18270.4
Ghana,Cassava,2014,888847.0,17798217.0,20023.9
Ghana,Cassava,2015,916544.0,17212756.0,18780.1
Ghana,Cassava,2016,938725.0,17798217.0,18960.0
Ghana,Cassava,2017,917000.0,19008724.86,20729.3
Ghana,Cassava,2018,977000.0,20845959.96,21336.7
Ghana,Cassava,2019,1021000.0,22750000.0,22282.1
Ghana,Cassava,2020,1061000.0,24368000.0,22967.0
Ghana,Cassava,2021,1051000.0,24997000.0,23784.0
Ghana,Cassava,2022,1048809.0,25607885.35,24416.2
Ghana,Cassava,2023,1060877.0,26598173.66,25071.9
Ghana,Cassava,2024,1079366.0,27917780.52,25865.0
