Area,crop,year,Area_Harvested_ha,Production_tonnes,Yield_kg_per_ha
Ghana,Cassava,1961,140000.0,1050000.0,7500.0
Ghana,Maize,1961,237000.0,226000.0,953.6
Ghana,Rice,1961,27518.0,30400.0,1104.7
Ghana,Yams,1961,150000.0,1100000.0,7333.3
Ghana,Cassava,1962,140000.0,1050000.0,7500.0
Ghana,Maize,1962,237000.0,220000.0,928.3
Ghana,Rice,1962,28000.0,31000.0,1107.1
Ghana,Yams,1962,150000.0,1100000.0,7333.3
Ghana,Cassava,1963,158554.0,1194265.0,7532.2
Ghana,Maize,1963,202340.0,182889.0,903.9
Ghana,Rice,1963,32374.0,32514.0,1004.3
Ghana,Yams,1963,162000.0,1099000.0,6784.0
Ghana,Cassava,1964,162803.0,1228608.0,7546.6
Ghana,Maize,1964,202340.0,172728.0,853.7
Ghana,Rice,1964,42653.0,42877.0,1005.3
Ghana,Yams,1964,171000.0,1153000.0,6742.7
Ghana,Cassava,1965,150000.0,1400000.0,9333.3
Ghana,Maize,1965,173277.0,209001.0,1206.2
Ghana,Rice,1965,32306.0,32615.0,1009.6
Ghana,Yams,1965,95000.0,1055000.0,11105.3
Ghana,Cassava,1966,186000.0,1552000.0,8344.1
Ghana,Maize,1966,250900.0,402100.0,1602.6
Ghana,Rice,1966,33000.0,38000.0,1151.5
Ghana,Yams,1966,87000.0,874000.0,10046.0
Ghana,Cassava,1967,183000.0,1577000.0,8617.5
Ghana,Maize,1967,294600.0,342917.0,1164.0
Ghana,Rice,1967,43705.0,52327.0,1197.3
Ghana,Yams,1967,99000.0,1133800.0,11452.5
Ghana,Cassava,1968,172000.0,1445600.0,8404.7
Ghana,Maize,1968,271500.0,301056.0,1108.9
Ghana,Rice,1968,45729.0,65332.0,1428.7
Ghana,Yams,1968,119000.0,1236000.0,10386.6
Ghana,Cassava,1969,200000.0,1500000.0,7500.0
Ghana,Maize,1969,275182.0,304000.0,1104.7
Ghana,Rice,1969,49000.0,60963.0,1244.1
Ghana,Yams,1969,117000.0,1325000.0,11324.8
Ghana,Cassava,1970,210000.0,1550000.0,7381.0
Ghana,Maize,1970,452500.0,481600.0,1064.3
Ghana,Rice,1970,55000.0,48800.0,887.3
Ghana,Yams,1970,172000.0,909000.0,5284.9
Ghana,Cassava,1971,210000.0,1550000.0,7381.0
Ghana,Maize,1971,432600.0,465400.0,1075.8
Ghana,Rice,1971,60700.0,54900.0,904.4
Ghana,Yams,1971,172000.0,909000.0,5284.9
Ghana,Cassava,1972,220000.0,1650000.0,7500.0
Ghana,Maize,1972,388500.0,402400.0,1035.8
Ghana,Rice,1972,70000.0,70100.0,1001.4
Ghana,Yams,1972,134000.0,679000.0,5067.2
Ghana,Cassava,1973,224000.0,1600000.0,7142.9
Ghana,Maize,1973,405500.0,426800.0,1052.5
Ghana,Rice,1973,66000.0,62000.0,939.4
Ghana,Yams,1973,130000.0,686000.0,5276.9
Ghana,Cassava,1974,225000.0,1600000.0,7111.1
Ghana,Maize,1974,424900.0,485700.0,1143.1
Ghana,Rice,1974,66800.0,73200.0,1095.8
Ghana,Yams,1974,133000.0,850000.0,6391.0
Ghana,Cassava,1975,285000.0,1900000.0,6666.7
Ghana,Maize,1975,319700.0,343400.0,1074.1
Ghana,Rice,1975,78500.0,71100.0,905.7
Ghana,Yams,1975,117000.0,709000.0,6059.8
Ghana,Cassava,1976,250000.0,1819000.0,7276.0
Ghana,Maize,1976,274000.0,286000.0,1043.8
Ghana,Rice,1976,77000.0,69800.0,906.5
Ghana,Yams,1976,100000.0,575000.0,5750.0
Ghana,Cassava,1977,232000.0,1811000.0,7806.0
Ghana,Maize,1977,256000.0,274000.0,1070.3
Ghana,Rice,1977,129000.0,109000.0,845.0
Ghana,Yams,1977,89000.0,535000.0,6011.2
Ghana,Cassava,1978,235000.0,1895000.0,8063.8
Ghana,Maize,1978,205000.0,218000.0,1063.4
Ghana,Rice,1978,123000.0,108000.0,878.0
Ghana,Yams,1978,95000.0,544000.0,5726.3
Ghana,Cassava,1979,219000.0,1759000.0,8032.0
Ghana,Maize,1979,358000.0,380000.0,1061.5
Ghana,Rice,1979,105000.0,93000.0,885.7
Ghana,Yams,1979,105000.0,602000.0,5733.3
Ghana,Cassava,1980,230000.0,1857600.0,8076.5
Ghana,Maize,1980,440000.0,382000.0,868.2
Ghana,Rice,1980,99000.0,78000.0,787.9
Ghana,Yams,1980,113000.0,650000.0,5752.2
Ghana,Cassava,1981,210000.0,2065000.0,9833.3
Ghana,Maize,1981,372000.0,378000.0,1016.1
Ghana,Rice,1981,116000.0,97000.0,836.2
Ghana,Yams,1981,116000.0,591000.0,5094.8
Ghana,Cassava,1982,230000.0,1986000.0,8634.8
Ghana,Maize,1982,373000.0,346000.0,927.6
Ghana,Rice,1982,61000.0,36000.0,590.2
Ghana,Yams,1982,111000.0,588000.0,5297.3
Ghana,Cassava,1983,210000.0,1728000.0,8228.6
Ghana,Maize,1983,400000.0,172000.0,430.0
Ghana,Rice,1983,40000.0,40000.0,1000.0
Ghana,Yams,1983,143000.0,866000.0,6055.9
Ghana,Cassava,1984,250000.0,2200000.0,8800.0
Ghana,Maize,1984,724000.0,696000.0,961.3
Ghana,Rice,1984,69000.0,65000.0,942.0
Ghana,Yams,1984,223000.0,1178000.0,5282.5
Ghana,Cassava,1985,289954.0,2300000.0,7932.3
Ghana,Maize,1985,579000.0,584000.0,1008.6
Ghana,Rice,1985,68000.0,80000.0,1176.5
Ghana,Yams,1985,178000.0,987000.0,5544.9
Ghana,Cassava,1986,387200.0,2876200.0,7428.2
Ghana,Maize,1986,472000.0,559100.0,1184.5
Ghana,Rice,1986,76100.0,69600.0,914.6
Ghana,Yams,1986,179000.0,1048100.0,5855.3
Ghana,Cassava,1987,389500.0,2725800.0,6998.2
Ghana,Maize,1987,548000.0,597700.0,1090.7
Ghana,Rice,1987,72000.0,80700.0,1120.8
Ghana,Yams,1987,204400.0,1185400.0,5799.4
Ghana,Cassava,1988,444000.0,3300000.0,7432.4
Ghana,Maize,1988,540000.0,751000.0,1390.7
Ghana,Rice,1988,51800.0,95000.0,1834.0
Ghana,Yams,1988,168300.0,902000.0,5359.5
Ghana,Cassava,1989,446000.0,3320000.0,7443.9
Ghana,Maize,1989,567000.0,715000.0,1261.0
Ghana,Rice,1989,71600.0,73700.0,1029.3
Ghana,Yams,1989,217000.0,1258000.0,5797.2
Ghana,Cassava,1990,322800.0,2717000.0,8417.0
Ghana,Maize,1990,464800.0,552600.0,1188.9
Ghana,Rice,1990,49000.0,80900.0,1651.0
Ghana,Yams,1990,119400.0,877000.0,7345.1
Ghana,Cassava,1991,534700.0,5701500.0,10663.0
Ghana,Maize,1991,610400.0,931500.0,1526.0
Ghana,Rice,1991,94900.0,150900.0,1590.1
Ghana,Yams,1991,227300.0,2631900.0,11579.0
Ghana,Cassava,1992,551900.0,5662000.0,10259.1
Ghana,Maize,1992,606800.0,730600.0,1204.0
Ghana,Rice,1992,79700.0,131500.0,1649.9
Ghana,Yams,1992,224100.0,2331400.0,10403.4
Ghana,Cassava,1993,531800.0,5972600.0,11230.9
Ghana,Maize,1993,636700.0,960900.0,1509.2
Ghana,Rice,1993,77200.0,157400.0,2038.9
Ghana,Yams,1993,206700.0,2720300.0,13160.6
Ghana,Cassava,1994,520400.0,6025000.0,11577.6
Ghana,Maize,1994,629400.0,939908.0,1493.3
Ghana,Rice,1994,80900.0,162300.0,2006.2
Ghana,Yams,1994,154200.0,1700140.0,11025.6
Ghana,Cassava,1995,551300.0,6611400.0,11992.4
Ghana,Maize,1995,688600.0,1034300.0,1502.0
Ghana,Rice,1995,99900.0,201720.0,2019.2
Ghana,Yams,1995,176100.0,2125700.0,12071.0
Ghana,Cassava,1996,590668.0,7111180.0,12039.2
Ghana,Maize,1996,664950.0,1007610.0,1515.3
Ghana,Rice,1996,105250.0,215720.0,2049.6
Ghana,Yams,1996,178006.0,2274790.0,12779.3
Ghana,Cassava,1997,589300.0,6999509.0,11877.7
Ghana,Maize,1997,651600.0,996000.0,1528.5
Ghana,Rice,1997,117700.0,197100.0,1674.6
Ghana,Yams,1997,187400.0,2407900.0,12849.0
Ghana,Cassava,1998,629680.0,7171500.0,11389.1
Ghana,Maize,1998,696620.0,1034500.0,1485.0
Ghana,Rice,1998,130400.0,193600.0,1484.7
Ghana,Yams,1998,210920.0,2702900.0,12814.8
Ghana,Cassava,1999,640300.0,7845440.0,12252.8
Ghana,Maize,1999,696900.0,1014450.0,1455.7
Ghana,Rice,1999,105300.0,209750.0,1991.9
Ghana,Yams,1999,242700.0,3249040.0,13387.1
Ghana,Cassava,2000,660100.0,8106800.0,12281.2
Ghana,Maize,2000,694700.0,1012700.0,1457.8
Ghana,Rice,2000,115200.0,248700.0,2158.9
Ghana,Yams,2000,261000.0,3362900.0,12884.7
Ghana,Cassava,2001,726357.0,8965840.0,12343.6
Ghana,Maize,2001,713303.0,937973.0,1315.0
Ghana,Rice,2001,136039.0,274596.0,2018.5
Ghana,Yams,2001,287386.0,3546739.0,12341.4
Ghana,Cassava,2002,794440.0,9731040.0,12248.9
Ghana,Maize,2002,939600.0,1400000.0,1490.0
Ghana,Rice,2002,122810.0,280000.0,2279.9
Ghana,Yams,2002,300010.0,3900000.0,12999.6
Ghana,Cassava,2003,807200.0,10239340.0,12685.0
Ghana,Maize,2003,791900.0,1288600.0,1627.2
Ghana,Rice,2003,117000.0,238810.0,2041.1
Ghana,Yams,2003,321400.0,3812800.0,11863.1
Ghana,Cassava,2004,783947.0,9738812.0,12422.8
Ghana,Maize,2004,732955.0,1157621.0,1579.4
