Area,crop,year,Area_Harvested_ha,Production_tonnes,Yield_kg_per_ha
Ghana,Maize,1961,237000.0,226000.0,953.6
Ghana,Maize,1962,237000.0,220000.0,928.3
Ghana,Maize,1963,202340.0,182889.0,903.9
Ghana,Maize,1964,202340.0,172728.0,853.7
Ghana,Maize,1965,173277.0,209001.0,1206.2
Ghana,Maize,1966,250900.0,402100.0,1602.6
Ghana,Maize,1967,294600.0,342917.0,1164.0
Ghana,Maize,1968,271500.0,301056.0,1108.9
Ghana,Maize,1969,275182.0,304000.0,1104.7
Ghana,Maize,1970,452500.0,481600.0,1064.3
Ghana,Maize,1971,432600.0,465400.0,1075.8
Ghana,Maize,1972,388500.0,402400.0,1035.8
Ghana,Maize,1973,405500.0,426800.0,1052.5
Ghana,Maize,1974,424900.0,485700.0,1143.1
Ghana,Maize,1975,319700.0,343400.0,1074.1
Ghana,Maize,1976,274000.0,286000.0,1043.8
Ghana,Maize,1977,256000.0,274000.0,1070.3
Ghana,Maize,1978,205000.0,218000.0,1063.4
Ghana,Maize,1979,358000.0,380000.0,1061.5
Ghana,Maize,1980,440000.0,382000.0,868.2
Ghana,Maize,1981,372000.0,378000.0,1016.1
Ghana,Maize,1982,373000.0,346000.0,927.6
Ghana,Maize,1983,400000.0,172000.0,430.0
Ghana,Maize,1984,724000.0,696000.0,961.3
Ghana,Maize,1985,579000.0,584000.0,1008.6
Ghana,Maize,1986,472000.0,559100.0,1184.5
Ghana,Maize,1987,548000.0,597700.0,1090.7
Ghana,Maize,1988,540000.0,751000.0,1390.7
Ghana,Maize,1989,567000.0,715000.0,1261.0
Ghana,Maize,1990,464800.0,552600.0,1188.9
Ghana,Maize,1991,610400.0,931500.0,1526.0
Ghana,Maize,1992,606800.0,730600.0,1204.0
Ghana,Maize,1993,636700.0,960900.0,1509.2
Ghana,Maize,1994,629400.0,939908.0,1493.3
Ghana,Maize,1995,688600.0,1034300.0,1502.0
Ghana,Maize,1996,664950.0,1007610.0,1515.3
Ghana,Maize,1997,651600.0,996000.0,1528.5
Ghana,Maize,1998,696620.0,1034500.0,1485.0
Ghana,Maize,1999,696900.0,1014450.0,1455.7
Ghana,Maize,2000,694700.0,1012700.0,1457.8
Ghana,Maize,2001,713303.0,937973.0,1315.0
Ghana,Maize,2002,939600.0,1400000.0,1490.0
Ghana,Maize,2003,791900.0,1288600.0,1627.2
Ghana,Maize,2004,732955.0,1157621.0,1579.4
Ghana,Maize,2005,750000.0,1171000.0,1561.3
Ghana,Maize,2006,793000.0,1189000.0,1499.4
Ghana,Maize,2007,790070.0,1219600.0,1543.7
Ghana,Maize,2008,846260.0,1470080.0,1737.1
Ghana,Maize,2009,954430.0,1619590.0,1696.9
Ghana,Maize,2010,991669.0,1871695.0,1887.4
Ghana,Maize,2011,1023177.0,1683984.0,1645.8
Ghana,Maize,2012,1042083.0,1949897.0,1871.2
Ghana,Maize,2013,1023459.0,1764477.0,1724.0
Ghana,Maize,2014,1019000.0,1762000.0,1729.1
Ghana,Maize,2015,880250.0,1691643.9,1921.8
Ghana,Maize,2016,883031.0,1721910.12,1950.0
Ghana,Maize,2017,1000000.0,2011179.42,2011.2
Ghana,Maize,2018,1021000.0,2306383.95,2258.9
Ghana,Maize,2019,1150000.0,2911000.0,2531.3
Ghana,Maize,2020,1189000.0,3071000.0,2582.8
Ghana,Maize,2021,1266000.0,3203000.0,2530.0
Ghana,Maize,2022,1300000.0,3255718.0,2504.4
Ghana,Maize,2023,1300000.0,3579000.0,2753.1
Ghana,Maize,2024,1368623.0,3794000.0,2772.1
