Area,crop,year,Area_Harvested_ha,Production_tonnes,Yield_kg_per_ha
Ghana,Rice,1961,27518.0,30400.0,1104.7
Ghana,Rice,1962,28000.0,31000.0,1107.1
Ghana,Rice,1963,32374.0,32514.0,1004.3
Ghana,Rice,1964,42653.0,42877.0,1005.3
Ghana,Rice,1965,32306.0,32615.0,1009.6
Ghana,Rice,1966,33000.0,38000.0,1151.5
Ghana,Rice,1967,43705.0,52327.0,1197.3
Ghana,Rice,1968,45729.0,65332.0,1428.7
Ghana,Rice,1969,49000.0,60963.0,1244.1
Ghana,Rice,1970,55000.0,48800.0,887.3
Ghana,Rice,1971,60700.0,54900.0,904.4
Ghana,Rice,1972,70000.0,70100.0,1001.4
Ghana,Rice,1973,66000.0,62000.0,939.4
Ghana,Rice,1974,66800.0,73200.0,1095.8
Ghana,Rice,1975,78500.0,71100.0,905.7
Ghana,Rice,1976,77000.0,69800.0,906.5
Ghana,Rice,1977,129000.0,109000.0,845.0
Ghana,Rice,1978,123000.0,108000.0,878.0
Ghana,Rice,1979,105000.0,93000.0,885.7
Ghana,Rice,1980,99000.0,78000.0,787.9
Ghana,Rice,1981,116000.0,97000.0,836.2
Ghana,Rice,1982,61000.0,36000.0,590.2
Ghana,Rice,1983,40000.0,40000.0,1000.0
Ghana,Rice,1984,69000.0,65000.0,942.0
Ghana,Rice,1985,68000.0,80000.0,1176.5
Ghana,Rice,1986,76100.0,69600.0,914.6
Ghana,Rice,1987,72000.0,80700.0,1120.8
Ghana,Rice,1988,51800.0,95000.0,1834.0
Ghana,Rice,1989,71600.0,73700.0,1029.3
Ghana,Rice,1990,49000.0,80900.0,1651.0
Ghana,Rice,1991,94900.0,150900.0,1590.1
Ghana,Rice,1992,79700.0,131500.0,1649.9
Ghana,Rice,1993,77200.0,157400.0,2038.9
Ghana,Rice,1994,80900.0,162300.0,2006.2
Ghana,Rice,1995,99900.0,201720.0,2019.2
Ghana,Rice,1996,105250.0,215720.0,2049.6
Ghana,Rice,1997,117700.0,197100.0,1674.6
Ghana,Rice,1998,130400.0,193600.0,1484.7
Ghana,Rice,1999,105300.0,209750.0,1991.9
Ghana,Rice,2000,115200.0,248700.0,2158.9
Ghana,Rice,2001,136039.0,274596.0,2018.5
Ghana,Rice,2002,122810.0,280000.0,2279.9
Ghana,Rice,2003,117000.0,238810.0,2041.1
Ghana,Rice,2004,119392.0,241807.0,2025.3
Ghana,Rice,2005,120000.0,287000.0,2391.7
Ghana,Rice,2006,125000.0,250000.0,2000.0
Ghana,Rice,2007,108930.0,185340.0,1701.5
Ghana,Rice,2008,132800.0,301920.0,2273.5
Ghana,Rice,2009,162360.0,391440.0,2410.9
Ghana,Rice,2010,181228.0,491603.0,2712.6
Ghana,Rice,2011,197480.0,463975.0,2349.5
Ghana,Rice,2012,189529.0,481134.0,2538.6
Ghana,Rice,2013,215905.0,569524.0,2637.8
Ghana,Rice,2014,224000.0,604000.0,2696.4
Ghana,Rice,2015,233270.0,641491.54,2750.0
Ghana,Rice,2016,243858.0,687678.93,2820.0
Ghana,Rice,2017,241700.0,722080.11,2987.5
Ghana,Rice,2018,206000.0,769400.87,3735.0
Ghana,Rice,2019,282000.0,925000.0,3280.1
Ghana,Rice,2020,291000.0,973000.0,3343.6
Ghana,Rice,2021,357000.0,1143000.0,3201.7
Ghana,Rice,2022,382000.0,1283000.0,3358.6
Ghana,Rice,2023,443200.0,1443000.0,3255.9
Ghana,Rice,2024,472900.0,1721200.0,3639.7
