Area,crop,year,Area_Harvested_ha,Production_tonnes,Yield_kg_per_ha
Ghana,Yams,1961,150000.0,1100000.0,7333.3
Ghana,Yams,1962,150000.0,1100000.0,7333.3
Ghana,Yams,1963,162000.0,1099000.0,6784.0
Ghana,Yams,1964,171000.0,1153000.0,6742.7
Ghana,Yams,1965,95000.0,1055000.0,11105.3
Ghana,Yams,1966,87000.0,874000.0,10046.0
Ghana,Yams,1967,99000.0,1133800.0,11452.5
Ghana,Yams,1968,119000.0,1236000.0,10386.6
Ghana,Yams,1969,117000.0,1325000.0,11324.8
Ghana,Yams,1970,172000.0,909000.0,5284.9
Ghana,Yams,1971,172000.0,909000.0,5284.9
Ghana,Yams,1972,134000.0,679000.0,5067.2
Ghana,Yams,1973,130000.0,686000.0,5276.9
Ghana,Yams,1974,133000.0,850000.0,6391.0
Ghana,Yams,1975,117000.0,709000.0,6059.8
Ghana,Yams,1976,100000.0,575000.0,5750.0
Ghana,Yams,1977,89000.0,535000.0,6011.2
Ghana,Yams,1978,95000.0,544000.0,5726.3
Ghana,Yams,1979,105000.0,602000.0,5733.3
Ghana,Yams,1980,113000.0,650000.0,5752.2
Ghana,Yams,1981,116000.0,591000.0,5094.8
Ghana,Yams,1982,111000.0,588000.0,5297.3
Ghana,Yams,1983,143000.0,866000.0,6055.9
Ghana,Yams,1984,223000.0,1178000.0,5282.5
Ghana,Yams,1985,178000.0,987000.0,5544.9
Ghana,Yams,1986,179000.0,1048100.0,5855.3
Ghana,Yams,1987,204400.0,1185400.0,5799.4
Ghana,Yams,1988,168300.0,902000.0,5359.5
Ghana,Yams,1989,217000.0,1258000.0,5797.2
Ghana,Yams,1990,119400.0,877000.0,7345.1
Ghana,Yams,1991,227300.0,2631900.0,11579.0
Ghana,Yams,1992,224100.0,2331400.0,10403.4
Ghana,Yams,1993,206700.0,2720300.0,13160.6
Ghana,Yams,1994,154200.0,1700140.0,11025.6
Ghana,Yams,1995,176100.0,2125700.0,12071.0
Ghana,Yams,1996,178006.0,2274790.0,12779.3
Ghana,Yams,1997,187400.0,2407900.0,12849.0
Ghana,Yams,1998,210920.0,2702900.0,12814.8
Ghana,Yams,1999,242700.0,3249040.0,13387.1
Ghana,Yams,2000,261000.0,3362900.0,12884.7
Ghana,Yams,2001,287386.0,3546739.0,12341.4
Ghana,Yams,2002,300010.0,3900000.0,12999.6
Ghana,Yams,2003,321400.0,3812800.0,11863.1
Ghana,Yams,2004,310834.0,3892259.0,12522.0
Ghana,Yams,2005,363000.0,3923000.0,10807.2
Ghana,Yams,2006,325000.0,4288000.0,13193.8
Ghana,Yams,2007,323590.0,4375990.0,13523.3
Ghana,Yams,2008,347570.0,4894850.0,14083.1
Ghana,Yams,2009,378740.0,5777850.0,15255.5
Ghana,Yams,2010,384942.0,5960486.0,15484.1
Ghana,Yams,2011,403798.0,6295453.0,15590.6
Ghana,Yams,2012,426343.0,6638867.0,15571.7
Ghana,Yams,2013,421558.0,7074574.0,16782.0
Ghana,Yams,2014,428000.0,7119000.0,16633.2
Ghana,Yams,2015,430198.0,7296150.36,16960.0
Ghana,Yams,2016,438183.0,7440354.5,16980.0
Ghana,Yams,2017,458480.0,7856898.64,17136.8
Ghana,Yams,2018,470000.0,7858208.58,16719.6
Ghana,Yams,2019,500000.0,8754000.0,17508.0
Ghana,Yams,2020,505000.0,8946000.0,17714.9
Ghana,Yams,2021,551000.0,10278000.0,18653.4
Ghana,Yams,2022,580707.0,10702900.69,18430.8
Ghana,Yams,2023,568184.0,10551330.91,18570.3
Ghana,Yams,2024,536529.0,10113013.74,18849.0
