Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",1991,1991,ha,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",1991,1991,t,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",1992,1992,ha,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",1992,1992,t,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",1993,1993,ha,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",1993,1993,t,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",1994,1994,ha,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",1994,1994,t,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",1995,1995,ha,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",1995,1995,t,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",1996,1996,ha,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",1996,1996,t,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",1997,1997,ha,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",1997,1997,t,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",1998,1998,ha,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",1998,1998,t,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",1999,1999,ha,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",1999,1999,t,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2000,2000,ha,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2000,2000,t,,M,Missing value; data cannot exist,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2001,2001,ha,101500,A,Official value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2001,2001,kg/ha,615.8,A,Official value,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2001,2001,t,62500,A,Official value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2002,2002,ha,180600,A,Official value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2002,2002,kg/ha,775.2,A,Official value,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2002,2002,t,140000,A,Official value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2003,2003,ha,190400,A,Official value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2003,2003,kg/ha,764.7,A,Official value,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2003,2003,t,145600,A,Official value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2004,2004,ha,183400,A,Official value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2004,2004,kg/ha,772.1,A,Official value,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2004,2004,t,141600,A,Official value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2005,2005,ha,180000,A,Official value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2005,2005,kg/ha,798.9,A,Official value,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2005,2005,t,143800,A,Official value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2006,2006,ha,185000,A,Official value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2006,2006,kg/ha,902.7,A,Official value,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2006,2006,t,167000,A,Official value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2007,2007,ha,183400,A,Official value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2007,2007,kg/ha,648.3,A,Official value,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2007,2007,t,118900,A,Official value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2008,2008,ha,221727,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2008,2008,kg/ha,811.4,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2008,2008,t,179900,A,Official value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2009,2009,ha,220954,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2009,2009,kg/ha,926.9,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2009,2009,t,204800,A,Official value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2010,2010,ha,185756,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2010,2010,kg/ha,1012.5,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2010,2010,t,188082.23,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2011,2011,ha,170107,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2011,2011,kg/ha,1128.6,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2011,2011,t,191977.89,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2012,2012,ha,168800,A,Official value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2012,2012,kg/ha,1322.3,A,Official value,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2012,2012,t,223200,A,Official value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2013,2013,ha,162000,A,Official value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2013,2013,kg/ha,1237,A,Official value,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2013,2013,t,200400,A,Official value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2014,2014,ha,165720,A,Official value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2014,2014,kg/ha,1213.8,A,Official value,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2014,2014,t,201150,A,Official value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2015,2015,ha,165720,A,Official value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2015,2015,kg/ha,1213.8,A,Official value,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2015,2015,t,201150,A,Official value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2016,2016,ha,112910,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2016,2016,kg/ha,1268.4,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2016,2016,t,143216.09,A,Official value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2017,2017,ha,129132,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2017,2017,kg/ha,1320.3,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5510,Production,1701,"Beans, dry",2017,2017,t,170490.27,A,Official value,
QCL,Crops and livestock products,288,Ghana,5312,Area harvested,1701,"Beans, dry",2018,2018,ha,129783,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1701,"Beans, dry",2018,2018,kg/ha,1361.3,E,Estimated value,
